title,company_name,company_website,vacancies,salary
Field Technicians- Bangalore,MOSAMBEE,,30,14500
HR - Operations,Stones2Milestones,http://www.stones2milestones.com,1,33334
Gold Loan BDE,Jana Small Finance Bank,https://www.janabank.com/,8,22917
Grab Delivery Boy - E.COM (Mumbai),Grab a Grub Services Pvt Ltd,http://www.grab.in/,200,14000
Delivery Boy - Big Basket - Groceries (Gurgaon),Grab a Grub Services Pvt Ltd,http://www.grab.in/,150,25000
Sales Manager,AWL,https://www.awl.sg/,3,83334
Software Developer (Java+Ofbiz),Xmplar,http://www.xmplar.in/,4,66667
Delivery Boy Biker's || Allahabad || - (Zomato ),Zomato,https://runnr.in,5,18000
Business Development Executive - Hyderabad,Arzooo go store,https://arzooo.com/,4,30000
Sales Executive (Direct Sales) - Hyderabad,Hathway Digital Private Limited,http://www.hathway.com/,60,18000
Telesales / Telemarketing Executive,UrbanPro,https://www.urbanpro.com/,2,25000
Delivery Boy Biker's || Mumbai || - (Shadowfax) (Grocery),Shadowfax,https://shadowfax.in/,250,20000
Telesales Executive,Ruloans Distribution Services Pvt Ltd,https://www.ruloans.com/,5,19000
Delivery Boy - Domino's (Pune),Jubilant Foodworks,https://www.dominos.co.in,12,7000
Sr Frontend React JS Developer,Navya Network,http://www.navyanetwork.com/,1,208334
QA Engineer,Spoyl Tech Solutions,https://www.spoyl.in/,1,0
Tele Sale,Mana Projects,https://www.manaprojects.com/,1,20000
